date,volume
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,1
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,2
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,2
2022-01-23,2
2022-01-30,2
2022-02-06,0
2022-02-13,0
2022-02-20,2
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,2
2022-03-27,1
2022-04-03,2
2022-04-10,2
2022-04-17,2
2022-04-24,1
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,1
2022-09-18,2
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,1
2022-11-06,1
2022-11-13,3
2022-11-20,0
2022-11-27,1
2022-12-04,7
2022-12-11,7
2022-12-18,6
2022-12-25,7
2023-01-01,14
2023-01-08,10
2023-01-15,15
2023-01-22,16
2023-01-29,45
2023-02-05,27
2023-02-12,31
2023-02-19,100
2023-02-26,93
2023-03-05,95
2023-03-12,62
2023-03-19,35
2023-03-26,37
2023-04-02,36
2023-04-09,31
2023-04-16,26
2023-04-23,20
2023-04-30,22
2023-05-07,16
2023-05-14,14
2023-05-21,14
2023-05-28,16
2023-06-04,31
2023-06-11,19
2023-06-18,16
2023-06-25,17
2023-07-02,13
2023-07-09,10
2023-07-16,12
2023-07-23,14
2023-07-30,15
2023-08-06,25
2023-08-13,92
2023-08-20,68
2023-08-27,58
2023-09-03,51
2023-09-10,43
2023-09-17,26
2023-09-24,21
2023-10-01,20
2023-10-08,17
2023-10-15,14
2023-10-22,12
2023-10-29,12
2023-11-05,11
2023-11-12,10
2023-11-19,11
2023-11-26,10
2023-12-03,11
2023-12-10,10
2023-12-17,9
2023-12-24,8
2023-12-31,10
2024-01-07,10
2024-01-14,7
2024-01-21,7
2024-01-28,8
2024-02-04,9
2024-02-11,9
2024-02-18,15
2024-02-25,12
2024-03-03,12
2024-03-10,10
2024-03-17,7
2024-03-24,17
2024-03-31,11
2024-04-07,10
2024-04-14,8
2024-04-21,11
2024-04-28,13
2024-05-05,10
2024-05-12,9
2024-05-19,10
2024-05-26,13
2024-06-02,8
2024-06-09,6
2024-06-16,5
2024-06-23,6
2024-06-30,6
