video_id,title,description,conspirative
flmcNjpOhJw,Cinematic City Final Project - City Streets in the Cinematic City,"This video is for educational purposes and is protected under the ""fair use"" doctrine of US copyright law.

Final Project for The Cinematic City",False
3S1_Q5PlH3g,Where did the plan to create 15-minute cities come from?,"http://www.RebelNewsPlus.com | 'The intention of these 15-minute cities is to reduce your carbon footprint,' said Michelle Stirling from Friends of Science.
Visit Rebel News for more on this story ► https://rebelne.ws/3YjXh5A
Rebel News: Telling the other side of the story.
https://www.RebelNews.com for more great Rebel content.

Unlike almost all of our mainstream media competitors, Rebel News doesn’t receive any government funding. We rely on our generous audience to help keep us reporting. Please consider supporting Rebel News by making a donation, purchasing a RebelNews+ subscription, shopping in our online store, or any of the other methods below:

►Support our independent journalism - https://rebelne.ws/donation
►We accept cryptocurrency! - http://rebelne.ws/crypto
►Rebel News Plus - Become a Premium Content subscriber - https://rebelne.ws/plus
►BUY Rebel News gear - https://rebelne.ws/store
►LISTEN to our FREE podcast - https://rebelne.ws/podcast

Follow Rebel News Canada on social media:
FACEBOOK - https://www.facebook.com/jointherebel/
TWITTER - https://twitter.com/rebelnews_ca
INSTAGRAM - https://www.instagram.com/rebelnews_ca/
ODYSEE - https://odysee.com/@RebelNewsCanada:3
MINDS - https://www.minds.com/rebelnews_ca/

Make sure to follow Rebel News' main channel on social media too!
FACEBOOK - https://rebelne.ws/fbook
TWITTER - https://rebelne.ws/twitter
INSTAGRAM - https://rebelne.ws/Instagram
PARLER - https://rebelne.ws/parler

Follow all of our YouTube channels here:
Rebel News - https://rebelne.ws/RebelNewsYT
Rebel News Australia - https://rebelne.ws/RebelNewsYT-AUS
Rebel News USA - https://rebelne.ws/RebelNewsYT-USA
Rebel News Español - https://rebelne.ws/RebelNewsYT-Espanol
Rebel News UK - https://rebelne.ws/RebelNewsYT-UK
Rebel News Québec - https://rebelne.ws/RebelNewsYT-Quebec
Ezra Levant - https://rebelne.ws/EzraLevantYT
Avi Yemini - https://rebelne.ws/AviYeminiYT
Miss Understood - https://rebelne.ws/MissUnderstoodYT

An original video production by Rebel News.

#RebelNews",True
GY7e-8QxZBc,"Five minute cities wet dream, Australian media circus acts","Sanity4Sweden art
https://www.konst.se/bvalter
Thanks to supporters
https://www.patreon.com/sanityforsweden
https://www.buymeacoffee.com/sanity4swe2
S4S here
https://twitter.com/sanity4sweden
https://gettr.com/user/sanity4sweden
https://rumble.com/user/Sanity4Sweden
https://mewe.com/i/sanity4sweden
https://parler.com/user/sanity4sweden
https://www.bitchute.com/channel/sanity-for-sweden/
Bastard Shaman - on reincarnation
https://www.youtube.com/channel/UC0raSPMNSDg086ZdRFAE93w",True
aYKg8X55ZY4,Design Meaningful Density with Data | 15' City Summit,"Data driven design needs to integrate (big) data, user comfort and perception, and design knowledge for designing meaningful density for human interaction in neighborhoods. 

Bige from the Singapore University of Technology and Design educates on the importance of getting the density right to accommodate various social groups in a city with diverse needs—an inclusive city for all. The city is ours to lose!

Learn about Enterprise: https://tinyurl.com/3yf4y3tj
Join the waiting list: https://tinyurl.com/mcavdkas

#15minuteCitySummit  #DBFEvent #15minutecity #Urbanplanning #Thefutureof15minutecity 

Greetings and welcome to DBF’s official YouTube channel where you can discover updates on product launches, helpful tutorials, and an array of other fantastic content. The DBF Team is committed to producing the most user-friendly products and improving cities around the world",False
h_JX3C6rSRc,Quick Debunk: 15 Minute City Fortresses,"A walled medieval city where no one can use cars, we're all forced to eat bugs to destroy the dairy industry and armed guards roam the streets! That's not what a 15 minute city is, or ever was and even Voices for Freedom/s Tane Webster said it sounds nice in practice - if the bugs weren't involved.",False
0-5W_S0K4-s,"Maui Residents upset over Lahaina Town being restructured as a 15-minute, “walkable” city","Lahaina Town & Hawaii residents take the Maui City Council members to task over their (globalists) One Transportation, *Final Plan* published in 2019!!! Help the native, long-time Lahaina residents DECIDE how they want to rebuild their town and lives. Instead of being TOLD how it will happen by 2040!

September 2023 Maui City Council meeting: https://youtu.be/qB9bl7aDXq4?si=1ahrW4k0afjdYFxq

https://youtu.be/WCU9IZc6R8c?si=V2c2F5Y_a_K6r6Tg - Jesse Wald in Kohoma Village in Maui near Lahaina Town

Was the Kohoma townhome community in Lahaina Town strategically saved from total destruction because it’s already walkable and *green friendly* with buried electric lines, solar panels and large cement sidewalks easy to walk around town? Connect to a future bike-walk trail? Is it on the geographic Maui man’s nose? Pass the rotten egg, smell test of a *controlled burn*?",True
-7IVdwLoHMg,Discover the Magic of Santarém with this 10-Minute City Sounds Experience,"Santarém - City Sounds Ambience After Lunch - ASMR - Perfect view and soundscape by the river

 🌊 #guruze #portugal

Experience the sights and sounds of summer in Santarém, Portugal! This 10-minute video captures the vibrant atmosphere of the city, with the sounds of trains and people going about their day. Perfect for relaxation or as a study or work background, this video showcases the beauty and energy of Santarém in the summertime.


🎥 Filming Location: Santarém, Portugal 
📅 Date: May 2022 
🌳 Spring 


Guru Zé 
Cute Zen Moments 
Nature • ASMR • LoFi 


👍🏻 Please LIKE if you do and SUBSCRIBE if you'd like to! This makes sure that new videos show up in your feed. 🌟 🔔 Click the bell if you would like notifications for new uploads. 

If you enjoyed our sights and sounds, please share them with your friends and family! 
👉🏻 https://youtu.be/-7IVdwLoHMg 📺

Spread the Love 

-------------------------------------------------------------------------- 

☀️Socials☀️ 
• https://linktr.ee/olaguruze 

• TikTok: @olaguruze 
• Instagram: @olaguruze 
• Facebook: @olaguruze 
• Business Inquiries: ola.guruze@gmail.com 

We create all of our own content. ONLY ORIGINAL STUFF. Videos and Audio are recorded out in nature. 

-------------------------------------------------------------------------- 

💡More Cool Videos. Check them out. 

Power Nap 🛌
👉🏻 https://youtu.be/nitLwUcxp50

The Secret to Stopping Fear and Anxiety dictate your life 🙅🏻‍♂️
👉🏻 https://youtu.be/OQwoHsYLJ1w

15 Minutes Meditation 🧘🏾‍♀️
👉🏻 https://youtu.be/F02aUbVXqJ8

ASMR Sheep Video 🐑 
👉🏻 https://www.youtube.com/watch?v=Jstx4... 

Singing Birds 🦜 
👉🏻 https://youtu.be/G_xa1C90FU8 

11 Hours for Baby Sleep, Serotonin Release Sounds, Happy Frequency, Dopamine Detox 😊
👉🏻 https://youtu.be/XBiRDQ_fqXY

WHITE CAT Sunbathing. Will she falls asleep?? 🐈
👉🏻 https://youtu.be/AshSyys1E_w

One Hour Meditation after Stressful Day 🤲🏼
👉🏻 https://youtu.be/kR-uS0IpOQ0

Reiki Music, Energy Healing, Nature Sounds, Meditation Zen, Positive vibes, Curative Music (8Hours) 😌
👉🏻 https://youtu.be/queP4_yHIac

River ASMR Ambient Triggers for Sleep, Relaxation, Meditation [Water and Birds] 🏞
👉🏻 https://youtu.be/Zy0vQ68ciSA

And our LoFi Shorts Playlist 🎧 
👉🏻 https://youtu.be/36TMiC7ymSA 

-------------------------------------------------------------------------- 

🔴 DISCLAIMER 🔴 

This video is not intended to replace any medical care, therapy, or counseling that might be needed. 

The benefits of ASMR - in terms of therapy - are so far unproven and in the early stages of published research. 

This film is intended for a mature audience for the purposes of mindfulness, relaxation, and entertainment.

 Please note that loud sounds can potentially damage your hearing. When playing one of our recordings, if you cannot have a conversation over the sound without raising your voice, the sound may be too loud for your ears. Please do not place speakers right next to a baby’s ears. 

If you have difficulty hearing or hear ringing in your ears, please immediately discontinue listening to the white noise sounds and consult an audiologist or your physician. 

The sounds provided by this Youtube channel are for entertainment purposes only and are not a treatment for sleep disorders or tinnitus. 

If you have significant difficulty sleeping regularly, experience fitful/restless sleep, or feel tired during the day, please consult your physician. 

Connect with nature, connect with yourself 
Ambient Sounds and Triggers for Sleep, Relaxation, Meditation, and Healing 

All material in this video is original and personally recorded by us. 

© Guru Zé, 2022. 
All rights reserved. Any reproduction or republication of all or part of this video/audio is prohibited.",False
RN-STgTI24I,15 MINUTE CITIES INCOMING. THE LIVERPOOL EXHO IS THE WEF'S PROPAGANDA ARM.,,True
eSDZSypJANA,Berlin|Berlin City in 1 minute|1 minute cities,"Berlin|Berlin City in 1 minute|1 minute cities
------------------------------------------------------------------------
👉Thank you for watching the video.
👉Subscribe to the channel to follow the latest videos.
------------------------------------------------------------------------
Berlin, the capital of Germany, is a city of immense historical significance, vibrant culture, and a dynamic, ever-evolving identity.

The city's skyline is a striking blend of the historic and the contemporary. Iconic landmarks like the Brandenburg Gate and the Reichstag stand as powerful symbols of Germany's history and reunification, while the sleek architecture of Potsdamer Platz and the Berlin Hauptbahnhof represent its modernity.

Berlin's tumultuous past is evident in the remnants of the Berlin Wall, a somber reminder of the city's division. The East Side Gallery, covered in colorful murals, has transformed this symbol of separation into a vibrant artistic canvas.

The city's cultural scene is a testament to its creativity, with world-class museums like the Pergamon Museum and the Gemäldegalerie housing remarkable art collections. The Berlin Philharmonic and Berlin State Opera offer a rich cultural experience.

Berlin's nightlife is legendary, with a plethora of bars, clubs, and music venues that cater to every taste. The city's diverse culinary scene reflects its multicultural population, offering a wide range of international cuisines.

The Tiergarten and the city's many parks provide green escapes within the urban landscape, while the Mauerpark hosts a bustling flea market and open-air karaoke sessions.

Berlin's open and welcoming atmosphere, along with its commitment to sustainability and innovation, make it a city that thrives on diversity and change. It's a place where history and progress coexist, where creativity knows no bounds, and where the past is a constant reminder of the city's enduring spirit. Berlin invites all who visit to explore its historic landmarks, embrace its artistic treasures, and be part of its ever-evolving story.

#berlin#berlingermany#berlintravelguide#berlinvlog#berlintravel#berlinguide#whattodoinberlin#berlinattractions#thingstodoinberlin",False
IyawxXCWQVU,15 minute cities are not a good thing! #consciousness,,True
